Category,Code,Name,Group,Notes
Set Listening Mode (SR Command),001SR,STEREO (cyclic),STEREO,STEREO 107-04-19 追加
Set Listening Mode (SR Command),003SR,FRONT STAGE SURROUND ADVANCE FOCUS,STEREO,
Set Listening Mode (SR Command),004SR,FRONT STAGE SURROUND ADVANCE WIDE,STEREO,
Set Listening Mode (SR Command),005SR,AUTO SURROUND/STREAM DIRECT (same as key),AUTO SURR,
Set Listening Mode (SR Command),006SR,AUTO SURROUND,AUTO SURR,
Set Listening Mode (SR Command),007SR,NORMAL DIRECT,AUTO SURR,
Set Listening Mode (SR Command),008SR,PURE DIRECT,AUTO SURR,
Set Listening Mode (SR Command),009SR,STEREO (direct command),STEREO,
Set Listening Mode (SR Command),010SR,STANDARD SELECTION (same as key),STANDARD,
Set Listening Mode (SR Command),012SR,PRO LOGIC,STANDARD,for 2ch Source
Set Listening Mode (SR Command),013SR,PRO LOGIC II MOVIE,STANDARD,for 2ch Source
Set Listening Mode (SR Command),014SR,PRO LOGIC II MUSIC,STANDARD,for 2ch Source
Set Listening Mode (SR Command),015SR,PRO LOGIC II GAME,STANDARD,for 2ch Source
Set Listening Mode (SR Command),016SR,Neo:6 CINEMA,STANDARD,for 2ch Source
Set Listening Mode (SR Command),017SR,Neo:6 MUSIC,STANDARD,for 2ch Source
Set Listening Mode (SR Command),018SR,PRO LOGIC IIx MOVIE,STANDARD,for 2ch Source
Set Listening Mode (SR Command),019SR,PRO LOGIC IIx MUSIC,STANDARD,for 2ch Source
Set Listening Mode (SR Command),020SR,PRO LOGIC IIx GAME,STANDARD,for 2ch Source
Set Listening Mode (SR Command),021SR,Depending on Source (for Multi-ch),STANDARD,for Multi-ch Source
Set Listening Mode (SR Command),022SR,(Multi-Channel Source) + EX,STANDARD,for Multi-ch Source
Set Listening Mode (SR Command),023SR,(Multi-Channel Source) + PRO LOGIC IIx MOVIE,STANDARD,for Multi-ch Source
Set Listening Mode (SR Command),024SR,(Multi-Channel Source) + PRO LOGIC IIx MUSIC,STANDARD,for Multi-ch Source
Set Listening Mode (SR Command),025SR,DTS Neo:6,STANDARD,for Multi-ch Source
Set Listening Mode (SR Command),026SR,DTS-ES matrix6.1,STANDARD,for Multi-ch Source
Set Listening Mode (SR Command),027SR,DTS-ES discrete6.1,STANDARD,for Multi-ch Source
Set Listening Mode (SR Command),028SR,XM HD SURROUND,STANDARD,for 2ch Source
Set Listening Mode (SR Command),029SR,NEURAL THX,STANDARD,for Multi-ch Source
Set Listening Mode (SR Command),030SR,DTS-ES 8ch discrete,STANDARD,for Multi-ch Source
Set Listening Mode (SR Command),050SR,THX SELECTION (same as key),HOME THX,
Set Listening Mode (SR Command),051SR,PRO LOGIC + THX,HOME THX,for 2ch Source
Set Listening Mode (SR Command),052SR,PRO LOGIC II MOVIE + THX,HOME THX,for 2ch Source
Set Listening Mode (SR Command),053SR,Neo:6 CINEMA + THX,HOME THX,for 2ch Source
Set Listening Mode (SR Command),054SR,PRO LOGIC IIx MOVIE + THX,HOME THX,for 2ch Source
Set Listening Mode (SR Command),055SR,THX GAMES MODE,HOME THX,for 2ch Source
Set Listening Mode (SR Command),056SR,THX Depending on Source (for Multi-ch),HOME THX,for Multi-ch Source
Set Listening Mode (SR Command),057SR,THX SURROUND EX,HOME THX,for Multi-ch Source
Set Listening Mode (SR Command),058SR,PRO LOGIC IIx MOVIE + THX,HOME THX,for Multi-ch Source
Set Listening Mode (SR Command),059SR,DTS Neo:6 + THX,HOME THX,for Multi-ch Source
Set Listening Mode (SR Command),060SR,DTS-ES MATRIX + THX,HOME THX,for Multi-ch Source
Set Listening Mode (SR Command),061SR,DTS-ES DISCRETE6.1 + THX,HOME THX,for Multi-ch Source
Set Listening Mode (SR Command),062SR,THX SELECT2,HOME THX,for Multi-ch Source
Set Listening Mode (SR Command),063SR,THX MUSICMODE SELECT,HOME THX,for Multi-ch Source
Set Listening Mode (SR Command),064SR,THX GAMES MODE (for multi-ch),HOME THX,for Multi-ch Source
Set Listening Mode (SR Command),067SR,DTS-ES 8ch DISCRETE THX,HOME THX,for Multi-ch Source
Set Listening Mode (SR Command),100SR,ADVANCED SURROUND SELECTION (same as key),ADV SURR,
Set Listening Mode (SR Command),101SR,ACTION,ADV SURR,
Set Listening Mode (SR Command),102SR,SCI-FI,ADV SURR,
Set Listening Mode (SR Command),103SR,DRAMA,ADV SURR,
Set Listening Mode (SR Command),104SR,ENTERTAINMENT SHOW (MUSICAL),ADV SURR,
Set Listening Mode (SR Command),105SR,MONO FILM,ADV SURR,
Set Listening Mode (SR Command),106SR,EXPANDED THEATER (7-D THEATER),ADV SURR,
Set Listening Mode (SR Command),107SR,CLASSICAL,ADV SURR,
Set Listening Mode (SR Command),109SR,UNPLUGGED (JAZZ),ADV SURR,
Set Listening Mode (SR Command),110SR,ROCK/POP (ROCK),ADV SURR,
Set Listening Mode (SR Command),112SR,EXTENDED STEREO (7CH-STEREO),ADV SURR,
Set Listening Mode (SR Command),113SR,PHONES SURROUND,ADV SURR,
Set Listening Mode (SR Command),116SR,TV SURROUND,ADV SURR,
Set Listening Mode (SR Command),117SR,SPORTS,ADV.SURR,
Set Listening Mode (SR Command),118SR,ADV.GAME,ADV.SURR,
Listening Mode Status (LM Return),LM000,PRO LOGIC II MOVIE,STANDARD,
Listening Mode Status (LM Return),LM001,PRO LOGIC II MUSIC,STANDARD,
Listening Mode Status (LM Return),LM002,PRO LOGIC,STANDARD,
Listening Mode Status (LM Return),LM003,NEO6 CINEMA,STANDARD,
Listening Mode Status (LM Return),LM004,NEO6 MUSIC,STANDARD,
Listening Mode Status (LM Return),LM005,PRO LOGICII GAME,STANDARD,
Listening Mode Status (LM Return),LM008,96kHz PRO LOGIC,STANDARD,
Listening Mode Status (LM Return),LM009,96kHz PRO LOGICII MOVIE,STANDARD,
Listening Mode Status (LM Return),LM010,96kHz PRO LOGIC II MUSIC,STANDARD,
Listening Mode Status (LM Return),LM011,96kHz PRO LOGICII GAME,STANDARD,
Listening Mode Status (LM Return),LM015,LPCM 96KHz,STANDARD,
Listening Mode Status (LM Return),LM016,DOLBY DIGITAL,STANDARD,
Listening Mode Status (LM Return),LM017,DOLBY DIGITAL EX,STANDARD,
Listening Mode Status (LM Return),LM019,DTS,STANDARD,
Listening Mode Status (LM Return),LM022,DTS-ES DISC 6.1,STANDARD,
Listening Mode Status (LM Return),LM023,DTS-ES MTRX 6.1,STANDARD,
Listening Mode Status (LM Return),LM028,MPEG-2 AAC EX,STANDARD,
Listening Mode Status (LM Return),LM030,DTS 96/24,STANDARD,
Listening Mode Status (LM Return),LM031,PCM,STANDARD,
Listening Mode Status (LM Return),LM032,ACTION,ADV.SURR,
Listening Mode Status (LM Return),LM033,SCIFI,ADV.SURR,
Listening Mode Status (LM Return),LM034,DRAMA,ADV.SURR,
Listening Mode Status (LM Return),LM035,ENTERTAINMENT SHOW (MUSICAL),ADV.SURR,
Listening Mode Status (LM Return),LM036,MONOFILM,ADV.SURR,
Listening Mode Status (LM Return),LM043,EXPANDED THEATER (7-D THEATER),ADV SURR,
Listening Mode Status (LM Return),LM050,PRO LOGIC IIx MOVIE,STANDARD,
Listening Mode Status (LM Return),LM051,PRO LOGIC IIx MUSIC,STANDARD,
Listening Mode Status (LM Return),LM052,NEO6 96K CINEMA,STANDARD,
Listening Mode Status (LM Return),LM053,NEO6 96K MUSIC,STANDARD,
Listening Mode Status (LM Return),LM054,NEO6 88K CINEMA,STANDARD,
Listening Mode Status (LM Return),LM055,NEO6 88K MUSIC,STANDARD,
