Type,Command,Name,Argument,Answer,Notes
Status Request,?V,VOLUME LEVEL STATUS REQUEST,,VOLXX<CR+LF>,"00=Mute, 01=-80dB, 81=0dB, 93=+12dB"
Status Request,?P,POWER STATUS REQUEST,,PWRX<CR+LF>,"0=ON, 1=OFF"
Status Request,?M,MUTE STATUS REQUEST,,MUTX<CR+LF>,"0=ON, 1=OFF"
Status Request,?F,FUNCTION MODE REQUEST,,FNXX<CR+LF>,"00=PHONO, 01=CD, 02=TUNER, 03=CDR, 04=DVD, 05=TV, 10=VIDEO or VIDEO1, 12=Multi CH, 14=VIDEO2, 15=DVR or DVR1, 16=DVR2, 17=iPod, 18=XM, 19=HDMI1, 20=HDMI2, 21=HDMI3, 25=BDP, 27=SIRIUS, 31=HDMI (cyclic)"
Status Request,?S,LISTENING MODE SETTING REQUEST,,SRXXXX<CR+LF>,See Setting Modes
Status Request,?L,LISTENING MODE REQUEST,,LMXXX<CR+LF>,See Listening Modes
Status Request,?TO,TONE STATUS REQUEST,,TOX<CR+LF>,"0=BYPASS, 1=ON"
Status Request,?BA,BASS STATUS REQUEST,,BAXX<CR+LF>,"00=+6, 06=0, 12=-6"
Status Request,?TR,TREBLE STATUS REQUEST,,TRXX<CR+LF>,"00=+6, 06=0, 12=-6"
Status Request,?PR,TUNER PRESET REQUEST,,PRXXX<CR+LF>,"A01=class A 1, A09=class A 9, A10=class A 0, B01=class B 1, B09=class B 9, B10=class B 0, C01=class C 1, C09=class C 9, C10=class C 0"
Status Request,?FR,TUNER FREQ REQUEST,,FRXXXXX<CR+LF>,"A00890=AM 890kHz, A01024=AM 1024kHz, F09100=FM 91.00 MHz, F10010=FM 100.10MHz"
Status Request,?AP,ZONE 2 POWER STATUS REQUEST,,APRX<CR+LF>,"0=ON, 1=OFF"
Status Request,?BP,ZONE 3 POWER STATUS REQUEST,,BPRX<CR+LF>,"0=ON, 1=OFF"
Status Request,?ZS,ZONE 2 FUNCTION STATUS REQUEST,,Z2FXX<CR+LF>,"00=PHONO, 01=CD, 02=TUNER, 03=CDR, 04=DVD, 05=TV, 10=VIDEO or VIDEO1, 12=Multi CH, 14=VIDEO2, 15=DVR or DVR1, 16=DVR2, 17=iPod, 18=XM, 19=HDMI1, 20=HDMI2, 21=HDMI3, 25=BDP, 27=SIRIUS, 31=HDMI (cyclic)"
